,make,model,files_y,year_x
5,kia,k5,,2022
11,kia,k5,,2021
14,kia,k5,,2023
16,mercedes-benz,cls,,2020
47,mercedes-benz,cla,,2018
48,mercedes-benz,cla,,2021
87,polestar,2,,2022
91,audi,s6,,2018
105,chrysler,200,,2016
125,infiniti,q40,,2015
135,mercedes-benz,cls,,2015
197,dodge,dart,,2015
265,acura,integra,,2023
273,audi,s8,,2015
338,acura,tl,,2012
354,chrysler,200,,2015
379,audi,s4,,2018
388,mercedes-benz,cla,,2020
398,toyota,venza,,2022
422,genesis,gv70,,2022
427,volkswagen,taos,,2022
429,toyota,corolla cross,,2023
454,ford,bronco,,2023
455,mercedes-benz,glc,,2017
517,ford,bronco,,2022
521,jeep,grand cherokee l,,2021
531,toyota,venza,,2021
541,ford,bronco,,2021
548,ford,bronco sport,,2023
556,mercedes-benz,gl class,,2016
557,genesis,gv80,,2023
559,volkswagen,id 4,,2021
572,kia,niro ev,,2022
594,mercedes-benz,gle,,2018
596,chevrolet,bolt euv,,2022
598,audi,sq7,,2021
599,mercedes-benz,glc,,2018
601,mercedes-benz,glc,,2016
626,land,rover range rover velar,,2020
627,ford,expedition max,,2020
628,gmc,yukon xl,,2018
633,mercedes-benz,gle,,2020
634,ford,expedition max,,2022
635,hyundai,santa fe sport,,2018
640,cadillac,srx,,2015
643,mercedes-benz,gle,,2019
651,land,rover discovery sport,,2018
667,mercedes-benz,gle,,2017
673,mercedes-benz,glc,,2019
687,hyundai,kona n,,2022
717,kia,seltos,,2021
722,lincoln,navigator l,,2021
728,mercedes-benz,gle,,2021
746,hyundai,kona n,,2023
749,mercedes-benz,gle,,2016
765,mercedes-benz,gle,,2022
769,mercedes-benz,gls,,2020
770,gmc,yukon xl,,2015
771,lincoln,mkx,,2016
781,chevrolet,bolt euv,,2023
804,ford,bronco sport,,2021
809,kia,ev6,,2023
820,audi,sq5,,2019
825,mercedes-benz,glb,,2020
837,volkswagen,taos,,2023
845,toyota,corolla cross,,2022
861,lincoln,mkx,,2017
890,mercedes-benz,glc,,2021
893,mercedes-benz,gla,,2020
903,hyundai,ioniq 5,,2022
912,jeep,patriot,,2017
937,mercedes-benz,glc,,2022
946,mercedes-benz,gla,,2019
949,mercedes-benz,glc,,2020
993,volvo,c40,,2022
996,toyota,fj cruiser,,2012
1000,jeep,patriot,,2015
1073,lincoln,mkx,,2018
1124,jeep,wagoneer,,2022
1145,mercedes-benz,gls,,2022
1154,mercedes-benz,gla,,2017
1183,hyundai,santa fe sport,,2017
1190,mercedes-benz,gla,,2022
1211,audi,allroad,,2016
1233,bmw,m2,,2018
1234,audi,rs5,,2013
1245,toyota,gr86,,2023
1253,toyota,gr86,,2022
1282,bmw,m4,,2015
1294,toyota,gr supra,,2022
1309,ford,transit connect,,2022
1311,ford,transit connect,,2021
1320,kia,carnival,,2023
1330,hyundai,santa cruz,,2022
1355,ford,maverick,,2023
1356,hyundai,santa cruz,,2023
1362,chevrolet,silverado 3500hd,,2022
1365,ford,maverick,,2022
1367,ford,f 350,,2022
1379,ford,f 350,,2020
1402,ram,3500,,2020
1481,ford,f 250,,2016
1485,ford,f 350,,2019
1500,ford,f 250,,2022
1532,ford,f 250,,2017
1545,ford,f 350,,2017
1563,,,,2023
1582,nissan,versa note,,2019
1589,toyota,prius prime,,2018
1592,audi,s5,,2018
1593,audi,rs5,,2019
1595,ford,focus,,2017
1599,toyota,prius prime,,2021
1606,ford,focus,,2016
1607,hyundai,veloster n,,2022
1624,nissan,versa note,,2018
1625,ford,focus,,2018
1632,toyota,prius prime,,2017
1647,mercedes-benz,slc,,2017
1648,mercedes-benz,slk,,2016
1653,bmw,m4,,2020
1655,bmw,m4,,2016
1657,volvo,c70,,2013
1661,mercedes-benz,slk,,2014
